team_a,team_b,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Saudi Arabia,England,2,0,0,2,0,0,100,Saudi_Arabia,England
Saudi Arabia,France,0,1,0,1,0,100,0,Saudi_Arabia,France
Saudi Arabia,Germany,0,3,0,3,0,100,0,Saudi_Arabia,Germany
Saudi Arabia,Ghana,2,2,1,5,20,40,40,Saudi_Arabia,Ghana
Saudi Arabia,Iran,6,4,4,14,29,29,43,Saudi_Arabia,Iran
Saudi Arabia,Japan,1,10,4,15,27,67,7,Saudi_Arabia,Japan
Saudi Arabia,Mexico,1,4,0,5,0,80,20,Saudi_Arabia,Mexico
Saudi Arabia,Morocco,1,3,3,7,43,43,14,Saudi_Arabia,Morocco
Saudi Arabia,Netherlands,0,1,0,1,0,100,0,Saudi_Arabia,Netherlands
Saudi Arabia,Poland,0,4,0,4,0,100,0,Saudi_Arabia,Poland
Saudi Arabia,Portugal,0,2,0,2,0,100,0,Saudi_Arabia,Portugal
Saudi Arabia,Qatar,14,8,17,39,44,21,36,Saudi_Arabia,Qatar
Saudi Arabia,Senegal,0,0,2,2,100,0,0,Saudi_Arabia,Senegal
Saudi Arabia,South Korea,8,4,4,16,25,25,50,Saudi_Arabia,South_Korea
Saudi Arabia,Spain,0,3,0,3,0,100,0,Saudi_Arabia,Spain
Saudi Arabia,Tunisia,1,4,3,8,38,50,12,Saudi_Arabia,Tunisia
Saudi Arabia,United States,2,2,2,6,33,33,33,Saudi_Arabia,United_States
Saudi Arabia,Uruguay,1,1,1,3,33,33,33,Saudi_Arabia,Uruguay
Saudi Arabia,Wales,0,1,0,1,0,100,0,Saudi_Arabia,Wales
Senegal,Brazil,1,0,0,1,0,0,100,Senegal,Brazil
Senegal,Cameroon,5,3,5,13,38,23,38,Senegal,Cameroon
Senegal,Croatia,0,1,0,1,0,100,0,Senegal,Croatia
Senegal,Denmark,1,2,0,3,0,67,33,Senegal,Denmark
Senegal,Ecuador,0,0,2,2,100,0,0,Senegal,Ecuador
Senegal,France,0,0,1,1,100,0,0,Senegal,France
Senegal,Ghana,5,3,4,12,33,25,42,Senegal,Ghana
Senegal,Iran,2,0,0,2,0,0,100,Senegal,Iran
